Referee,Games_Officiated,Total_Travel_Miles,Avg_Miles_Per_Trip,Unique_Venues,Unique_States,Most_Visited_Venue,Times_At_Most_Visited,Venue_Diversity_Ratio,Max_Single_Trip
Kyle Ray,4,322.18,107.39,4,4,"Knights Hall (Louisville, KY)",1,1.0,180.88
Jake Kuhlman,8,322.07,46.01,7,5,"CB&S Bank Arena at Flowers Hall (Florence, AL)",2,0.88,322.07
John Hendricks,15,320.94,22.92,8,6,"Carver Arena (Peoria, IL)",3,0.53,202.15
Matthew Martinez,7,314.0,52.33,5,1,"Dugan Wellness Center (Corpus Christi, TX)",2,0.71,314.0
Jeffery Johnson,5,310.51,77.63,5,2,"Don Haskins Center (El Paso, TX)",1,1.0,310.51
Derek Henry,10,307.3,34.14,9,5,"Allen Arena (Nashville, TN)",2,0.9,307.3
Garrett Jones,6,305.23,61.05,6,4,"Alumni Hall (Annapolis, MD)",1,1.0,149.3
Chris Balunek,2,303.09,303.09,2,1,"Moody Coliseum (Abilene, TX)",1,1.0,303.09
Kael Saloy,14,297.1,22.85,8,3,"University Center (Hammond, LA)",4,0.57,173.52
Matt Ditty,5,291.51,72.88,4,2,"America First Event Center (Cedar City, UT)",2,0.8,291.51
Alex Langley,11,289.6,28.96,9,5,"McDougald-McLendon Arena (Durham, NC)",2,0.82,152.81
Earnie Pheal,9,289.31,36.16,6,2,"Kiefer Lakefront Arena (New Orleans, LA)",3,0.67,123.57
Dave Cronin Sr.,3,289.01,144.51,2,2,"Convocation Center (DeKalb, IL)",2,0.67,289.01
Jon Broska,15,276.3,19.74,5,1,"Swisher Gymnasium (Jacksonville, FL)",4,0.33,92.1
Andre Crawford,21,272.23,13.61,13,3,"Sharp Gymnasium (Houston, TX)",4,0.62,272.23
Daniel Shafer,3,272.23,136.11,2,1,"William R. Johnson Coliseum (Nacogdoches, TX)",2,0.67,272.23
Rod Mrakovich,3,260.59,130.3,3,3,"Henry J. Goodman Arena (Cleveland, OH)",1,1.0,260.59
Mike McCloskey,18,257.55,15.15,16,7,"Detrick Gymnasium (New Britain, CT)",2,0.89,257.55
William Humes,7,256.19,42.7,6,2,"Kimmel Arena (Asheville, NC)",2,0.86,156.95
Corey Haney,9,252.56,31.57,5,3,"Winthrop Coliseum (Rock Hill, SC)",2,0.56,153.32
Boyd Copeland,8,249.46,35.64,6,3,"Gentry Center Complex (Nashville, TN)",3,0.75,249.46
Craig Lastres,9,245.5,30.69,7,5,"Detrick Gymnasium (New Britain, CT)",2,0.78,245.5
Adam Vandenburg,2,245.35,245.35,2,2,"CURE Insurance Arena (Trenton, NJ)",1,1.0,245.35
Josean Vega,21,242.27,12.11,18,9,"Roy L. Patrick Gymnasium (Burlington, VT)",2,0.86,242.27
Christopher Brown,14,240.98,18.54,10,8,"Joel & Diane Bloom Wellness & Events Center (Newark, NJ)",3,0.71,240.98
Tiger Womack,9,240.98,30.12,7,4,"Costello Athletic Center (Lowell, MA)",2,0.78,240.98
Josh Pitto,8,236.41,33.77,7,5,"Screaming Eagles Arena (Evansville, IN)",2,0.88,236.41
Justin Dorris,6,236.41,47.28,4,3,"Kathleen and Tom Elam Center (Martin, TN)",2,0.67,236.41
Jeremy Campbell,15,232.95,16.64,11,3,"University Center (Hammond, LA)",3,0.73,232.95
Brad Gaston,13,232.48,19.37,10,7,"SRC Arena (Riverside, CA)",2,0.77,232.48
Brett Smith,2,232.48,232.48,2,2,"Hulman Center (Terre Haute, IN)",1,1.0,232.48
Jeffrey Malham,9,232.48,29.06,6,5,"Hulman Center (Terre Haute, IN)",3,0.67,232.48
Jackson Strong,5,232.48,58.12,3,3,"Curb Event Center (Nashville, TN)",2,0.6,232.48
Dillon Brasher,7,226.16,37.69,4,3,"Robert F. Hyland Arena (Saint Charles, MO)",4,0.57,226.16
Hayden Hilty,3,221.07,110.53,3,2,"Reese Court (Cheney, WA)",1,1.0,221.07
Stephen Sherrill,8,216.79,30.97,6,4,"Kirby Sports Center (Easton, PA)",2,0.75,216.79
Devon Maio,12,210.52,19.14,10,6,"Lundholm Gymnasium (Durham, NH)",2,0.83,172.11
Michael Kolen,5,192.71,48.18,5,3,"McKenzie Arena (Chattanooga, TN)",1,1.0,111.32
Scott Siville,6,190.79,38.16,5,3,"Hard Rock Cancun (Cancún, MEX)",2,0.83,190.79
Kellen Milliner,4,188.15,62.72,4,3,"Elridge Wilburn Blake Sports and Fitness Center (Charlotte Amalie West, Vir Isl)",1,1.0,188.15
Jordan Conley,13,184.2,15.35,6,3,"Swisher Gymnasium (Jacksonville, FL)",6,0.46,92.1
Adam James,8,184.2,26.31,5,1,"Edmunds Center (DeLand, FL)",3,0.62,92.1
Trent Lovewell,19,182.2,10.12,12,8,"Reed Gym (Pocatello, ID)",2,0.63,182.2
Mason Silver,3,179.14,89.57,3,2,"Calihan Hall (Detroit, MI)",1,1.0,146.21
Tony Dawkins,9,176.19,22.02,8,4,"First Horizon Coliseum (Greensboro, NC)",2,0.89,176.19
John Dillon,13,173.14,14.43,8,5,"Allen Arena (Nashville, TN)",5,0.62,173.14
Joseph Brogan,3,172.92,86.46,3,2,"James A. Rhodes Arena (Akron, OH)",1,1.0,112.25
Kyle Brown,2,169.76,169.76,2,2,"Baxter Arena (Omaha, NE)",1,1.0,169.76
Doug George,10,163.5,18.17,6,2,"Field House (Commerce, TX)",3,0.6,163.5
Italo Araujo,8,161.57,23.08,7,4,"Qubein Arena (High Point, NC)",2,0.88,161.57
Jason Creek,10,158.02,17.56,6,3,"Allen Arena (Nashville, TN)",3,0.6,158.02
Kyle Stewart,24,158.02,6.87,15,10,"Screaming Eagles Arena (Evansville, IN)",4,0.62,158.02
Kastine Evans,12,155.88,14.17,10,6,"Reitz Arena (Baltimore, MD)",2,0.83,155.88
Matthew LaGanke,8,154.7,22.1,6,2,"Donald N. Dedmon Center (Radford, VA)",2,0.75,153.32
"Edward Corbett, Jr.",8,153.37,21.91,6,5,"Stony Brook Arena (Stony Brook, NY)",2,0.75,153.37
Jon Riggsbee,11,153.32,15.33,7,3,"Ross E. Templeton Center (Clinton, SC)",3,0.64,153.32
Brad Fowler,2,152.77,152.77,2,1,"College Park Center (Arlington, TX)",1,1.0,152.77
Paul Tuomey,14,148.62,11.43,13,7,"Detrick Gymnasium (New Britain, CT)",2,0.93,148.62
Mike Kitts,6,142.29,28.46,5,4,"Ocean Center (Daytona Beach, FL)",2,0.83,142.29
Rufus Lott III,10,139.56,15.51,6,1,"UTRGV Fieldhouse (Edinburg, TX)",5,0.6,139.56
Jermaine Rodgers,3,137.93,68.96,3,2,"Hill Field House (Baltimore, MD)",1,1.0,133.63
Winston Trotter,8,137.77,19.68,5,2,"Health & Physical Education Arena (Houston, TX)",3,0.62,137.77
Jim Ostwalt,4,132.66,44.22,4,3,"Spiro Sports Center Athletic Complex (Staten Island, NY)",1,1.0,132.66
Bill Elk,4,124.92,41.64,3,3,"James A. Rhodes Arena (Akron, OH)",2,0.75,124.92
Kendall Pike,11,121.92,12.19,9,4,"Qubein Arena (High Point, NC)",2,0.82,121.92
"Ed Corbett, Jr.",2,121.79,121.79,2,2,"Chesapeake Employers Insurance Arena (Baltimore, MD)",1,1.0,121.79
Johnny Harrington,5,121.41,30.35,5,1,"Alex G. Spanos Center (Stockton, CA)",1,1.0,121.41
Grant Jeffers,2,118.75,118.75,2,2,"Reed Gym (Pocatello, ID)",1,1.0,118.75
Brelan Hillman,2,115.18,115.18,2,2,"Kaplan Arena (Williamsburg, VA)",1,1.0,115.18
Moe Najmyar,3,111.57,55.78,3,3,"Case Gym (Boston, MA)",1,1.0,111.57
Chris McCurry,8,101.47,14.5,5,3,"Bon Secours Wellness Arena (Greenville, SC)",3,0.62,101.47
Cody Vincent,9,95.92,11.99,6,2,"Kiefer Lakefront Arena (New Orleans, LA)",3,0.67,95.92
Andrew Casas,12,92.1,8.37,9,5,"Swisher Gymnasium (Jacksonville, FL)",4,0.75,92.1
Kenneth Totten,10,92.1,10.23,4,1,"Swisher Gymnasium (Jacksonville, FL)",4,0.4,92.1
Joseph Carmisione,12,89.65,8.15,10,7,"Kirby Sports Center (Easton, PA)",2,0.83,89.65
"Steven Perry, Jr.",2,88.97,88.97,2,2,"Wells Fargo Center (Philadelphia, PA)",1,1.0,88.97
Donald Daniels,11,81.39,8.14,7,4,"Dunn-Oliver Acadome (Montgomery, AL)",3,0.64,81.39
Chet Walker,4,70.29,23.43,4,2,"Hill Field House (Baltimore, MD)",1,1.0,37.08
Leon Sandiford,3,70.29,35.14,3,2,"Hill Field House (Baltimore, MD)",1,1.0,37.08
Toby Doolittle,14,56.05,4.31,12,6,"Beasley Coliseum (Pullman, WA)",2,0.86,56.05
Phil Sallustio Jr,2,42.62,42.62,2,2,"Jadwin Gymnasium (Princeton, NJ)",1,1.0,42.62
Garrett Theriot,18,42.17,2.48,7,2,"Kiefer Lakefront Arena (New Orleans, LA)",5,0.39,42.17
Chris Devlin,11,39.3,3.93,8,5,"Hart Center at the Luth Athletic Complex (Worcester, MA)",3,0.73,39.3
Dave Fernandez,17,38.53,2.41,11,6,"Pizzitola Sports Center (Providence, RI)",3,0.65,38.53
Jason Alabanza,15,38.34,2.74,13,4,"Mott Athletics Center (San Luis Obispo, CA)",3,0.87,38.34
Isaiah Rivers,2,33.21,33.21,2,2,"Burr Gymnasium (Washington, DC)",1,1.0,33.21
Andy Cohn,9,18.1,2.26,7,1,"The Nest (Sacramento, CA)",3,0.78,18.1
Everett Summers,5,4.29,1.07,4,2,"Hytche Center (Princess Anne, MD)",2,0.8,4.29
Rob Riley Jr,2,0.0,0.0,2,2,"UPMC Events Center (Carnot-Moon, PA)",1,1.0,0.0
Dion Dowell,4,0.0,0.0,4,2,"Legacy Center (Lake Charles, LA)",1,1.0,0.0
Kristyne Esparaza,2,0.0,0.0,2,1,"War Memorial at the Sobrato Center (San Francisco, CA)",1,1.0,0.0
Eddie Shannon Sr.,3,0.0,0.0,3,3,"Joan Perry Brock Center (Farmville, VA)",1,1.0,0.0
Byron Rosier,9,0.0,0.0,7,3,"Moore Gymnasium (Daytona Beach, FL)",2,0.78,0.0
Javier Vazquez,2,0.0,0.0,1,1,"Coliseo Rubén Rodríguez (Bayamón, PR)",2,0.5,0.0
Vladmir Voyard-Tadal,2,0.0,0.0,2,2,"Neville Arena (Auburn, AL)",1,1.0,0.0
Alex Manuel,9,0.0,0.0,5,4,"Jack Stephens Center (Little Rock, AR)",4,0.56,0.0
Michael Smith,2,0.0,0.0,2,1,"Farris Center (Conway, AR)",1,1.0,0.0
Doug Simmons,3,0.0,0.0,3,3,"Crisler Center (Ann Arbor, MI)",1,1.0,0.0
Jeff Flowers,2,0.0,0.0,2,2,"ICCU Arena (Moscow, ID)",1,1.0,0.0
Sean Lee,3,0.0,0.0,3,3,"Spiro Sports Center Athletic Complex (Staten Island, NY)",1,1.0,0.0
D.G. Nelson,2,0.0,0.0,1,1,"SRC Arena (Riverside, CA)",2,0.5,0.0
John Cahill,10,0.0,0.0,10,5,"Thomas M. Ryan Center (Kingston, RI)",1,1.0,0.0
Travis Caswell,3,0.0,0.0,2,2,"Emil and Patricia Jones Convocation Center (Chicago, IL)",2,0.67,0.0
Chris Duprey,4,0.0,0.0,4,3,"Johnson Arena (Morehead, KY)",1,1.0,0.0
Doug Aprahamian,5,0.0,0.0,4,3,"Spiro Sports Center Athletic Complex (Staten Island, NY)",2,0.8,0.0
Eddie Shannon Jr.,2,0.0,0.0,1,1,"Qubein Arena (High Point, NC)",2,0.5,0.0
Baharat Rammanan,3,0.0,0.0,1,1,"The HTC Center (Conway, SC)",3,0.33,0.0
Williset Del Valle,4,0.0,0.0,2,1,"Edmunds Center (DeLand, FL)",3,0.5,0.0
Steve Anderson,2,0.0,0.0,2,2,"Mohegan Sun Arena (Uncasville, CT)",1,1.0,0.0
Brad Zapenas,8,0.0,0.0,6,4,"Leede Arena (Hanover, NH)",2,0.75,0.0
Aaron Denton,12,0.0,0.0,5,3,"Screaming Eagles Arena (Evansville, IN)",5,0.42,0.0
Marquis Pettigrew,3,0.0,0.0,1,1,"Lahaina Civic Center (Lahaina, HI)",3,0.33,0.0
Michael Stramiello,6,0.0,0.0,2,1,"Farris Center (Conway, AR)",5,0.33,0.0
Darren Budahn,6,0.0,0.0,4,4,"Emil and Patricia Jones Convocation Center (Chicago, IL)",2,0.67,0.0
Andrew Walton,10,0.0,0.0,7,7,"Jack Stephens Center (Little Rock, AR)",3,0.7,0.0
Chase Furlough,10,0.0,0.0,6,2,"Elridge Wilburn Blake Sports and Fitness Center (Charlotte Amalie West, Vir Isl)",3,0.6,0.0
Mike Greenstein,2,0.0,0.0,1,1,"Madison Square Garden (New York, NY)",2,0.5,0.0
Donn Berdahl,6,0.0,0.0,4,4,"SimpliFi Arena at Stan Sheriff Center (Honolulu, HI)",3,0.67,0.0
Cedric Bennett,2,0.0,0.0,2,2,"McDougald-McLendon Arena (Durham, NC)",1,1.0,0.0
Ryan Wechsler,6,0.0,0.0,3,1,"Edmunds Center (DeLand, FL)",4,0.5,0.0
Jeff Lewis,4,0.0,0.0,4,4,"Activity Center (Bismarck, ND)",1,1.0,0.0
Fredrick Gipson,6,0.0,0.0,4,3,"Jack Stephens Center (Little Rock, AR)",3,0.67,0.0
Jacob Hirz,4,0.0,0.0,3,3,"SimpliFi Arena at Stan Sheriff Center (Honolulu, HI)",2,0.75,0.0
Edward Corbett,3,0.0,0.0,3,2,"Nassau Coliseum (Uniondale, NY)",1,1.0,0.0
Connor Macdaid,9,0.0,0.0,7,3,"Paul Porter Arena (Boiling Springs, NC)",2,0.78,0.0
Dave Masino,4,0.0,0.0,4,3,"Spiro Sports Center Athletic Complex (Staten Island, NY)",1,1.0,0.0
Trey Sytons,2,0.0,0.0,2,2,"John E. Glaser Arena (Philadelphia, PA)",1,1.0,0.0
Billy Brooks,2,0.0,0.0,1,1,"Hill Field House (Baltimore, MD)",2,0.5,0.0
Ron Gengenbacher,3,0.0,0.0,2,2,"First Community Arena (Edwardsville, IL)",2,0.67,0.0
Ben Wolfe,2,0.0,0.0,2,2,"Sanford Pentagon (Sioux Falls, SD)",1,1.0,0.0
"Stephen Orkus, Jr",2,0.0,0.0,2,2,"Fant-Ewing Coliseum (Monroe, LA)",1,1.0,0.0
Haywood Bostic,11,0.0,0.0,8,5,"McDougald-McLendon Arena (Durham, NC)",3,0.73,0.0
Jeffery Anderson,6,0.0,0.0,4,4,"Addition Financial Arena (Orlando, FL)",3,0.67,0.0
Mike Kashirsky,2,0.0,0.0,1,0,"Hard Rock Cancun (Cancún, MEX)",2,0.5,0.0
Luis Vazquez,4,0.0,0.0,3,2,"Moore Gymnasium (Daytona Beach, FL)",2,0.75,0.0
Marvin Harris,4,0.0,0.0,2,2,"The Reef at FSCJ (Jacksonville, FL)",3,0.5,0.0
Mark Cook,15,0.0,0.0,11,6,"Viking Pavilion (Portland, OR)",3,0.73,0.0
Joseph Guyton,8,0.0,0.0,3,1,"University Center (Hammond, LA)",4,0.38,0.0
Ruben Ramos,2,0.0,0.0,2,2,"CBU Events Center (Riverside, CA)",1,1.0,0.0
WINSTON TROTTER,2,0.0,0.0,1,1,"FCH Assembly Center (Grambling, LA)",2,0.5,0.0
Albert Buckles,5,0.0,0.0,3,2,"William R. Johnson Coliseum (Nacogdoches, TX)",3,0.6,0.0
Michael Woods,2,0.0,0.0,2,2,"Ellis Corbett Sports Center (Greensboro, NC)",1,1.0,0.0
Devon Kinsey,2,0.0,0.0,2,1,"Hill Field House (Baltimore, MD)",1,1.0,0.0
Jason Horsley,2,0.0,0.0,2,2,"Dahlberg Arena (Missoula, MT)",1,1.0,0.0
Adrian Judie,5,0.0,0.0,3,2,"UTRGV Fieldhouse (Edinburg, TX)",3,0.6,0.0
Chris Merlo,5,0.0,0.0,4,3,"Atlantis Resort (Paradise Island, Bahamas)",2,0.8,0.0
Eric Dust,5,0.0,0.0,4,4,"Worthington Arena (Bozeman, MT)",2,0.8,0.0
Lee Kluttz,4,0.0,0.0,3,2,"Kimmel Arena (Asheville, NC)",2,0.75,0.0
Michael Ingram,4,0.0,0.0,3,3,"Groniger Arena (Charleston, IL)",2,0.75,0.0
"Stephen Orkus, Jr.",10,0.0,0.0,5,2,"Fant-Ewing Coliseum (Monroe, LA)",3,0.5,0.0
Donatas Siaudinis,2,0.0,0.0,2,1,"Winthrop Coliseum (Rock Hill, SC)",1,1.0,0.0
Juwaan Williams,2,0.0,0.0,1,1,"M&T Bank Arena (Hamden, CT)",2,0.5,0.0
Freddie Williams,9,0.0,0.0,6,5,"CB&S Bank Arena at Flowers Hall (Florence, AL)",3,0.67,0.0
Errol Lewis,3,0.0,0.0,3,3,"Holmes Convocation Center (Boone, NC)",1,1.0,0.0
Zach Kmieciak,5,0.0,0.0,3,2,"Elridge Wilburn Blake Sports and Fitness Center (Charlotte Amalie West, Vir Isl)",3,0.6,0.0
William Covington Jr.,2,0.0,0.0,2,2,"Joseph G. Echols Memorial Hall (Norfolk, VA)",1,1.0,0.0
Dave Cusick,2,0.0,0.0,1,1,"McLeod Center (Cedar Falls, IA)",2,0.5,0.0
Evan Burroughs,8,0.0,0.0,7,5,"Roy L. Patrick Gymnasium (Burlington, VT)",2,0.88,0.0
Coy Gammon,10,0.0,0.0,8,6,"Allen Arena (Nashville, TN)",2,0.8,0.0
THOMAS NORTHCUTT,2,0.0,0.0,1,1,"FCH Assembly Center (Grambling, LA)",2,0.5,0.0
Horace Shields,5,0.0,0.0,4,2,"The Nest (Sacramento, CA)",2,0.8,0.0
Steven Ruppenthal,4,0.0,0.0,4,3,"Bogota Savings Bank Center (Hackensack, NJ)",1,1.0,0.0
Lee Klutz,2,0.0,0.0,1,1,"Donald N. Dedmon Center (Radford, VA)",2,0.5,0.0
John Dillion,2,0.0,0.0,2,2,"Baptist Health Arena (Richmond, KY)",1,1.0,0.0
Jackie Sanders,5,0.0,0.0,4,2,"Smith-Hammond-Middleton Memorial Center (Orangeburg, SC)",2,0.8,0.0
Evan Singletary,2,0.0,0.0,2,1,"Albert Gersten Pavilion (Los Angeles, CA)",1,1.0,0.0
Kendall Ridley,4,0.0,0.0,3,3,"McDougald-McLendon Arena (Durham, NC)",2,0.75,0.0
Derek Anganes,7,0.0,0.0,6,3,"Titan Gym (Fullerton, CA)",2,0.86,0.0
Klaus Endrissat,3,0.0,0.0,3,2,"SimpliFi Arena at Stan Sheriff Center (Honolulu, HI)",1,1.0,0.0
Austin Jones,14,0.0,0.0,7,6,"The Reef at FSCJ (Jacksonville, FL)",3,0.5,0.0
Joel Curbelo,2,0.0,0.0,1,1,"Coliseo Rubén Rodríguez (Bayamón, PR)",2,0.5,0.0
Chris Koopman,3,0.0,0.0,2,1,"Robert F. Hyland Arena (Saint Charles, MO)",2,0.67,0.0
John Sousa,2,0.0,0.0,2,2,"Leede Arena (Hanover, NH)",1,1.0,0.0
Steve Settle,4,0.0,0.0,3,3,"McDougald-McLendon Arena (Durham, NC)",2,0.75,0.0
Anthony Thomas,3,0.0,0.0,3,1,"Field House (Commerce, TX)",1,1.0,0.0
Doran Gotschall,4,0.0,0.0,4,4,"Dee Events Center (Ogden, UT)",1,1.0,0.0
Alex Thompson,3,0.0,0.0,1,1,"Lee's Family Forum (Henderson, NV)",3,0.33,0.0
Benjamin Price,2,0.0,0.0,2,2,"Hill Field House (Baltimore, MD)",1,1.0,0.0
Ray Adams,2,0.0,0.0,1,1,"Reese Court (Cheney, WA)",2,0.5,0.0
Phil Sallustio,5,0.0,0.0,4,4,"Christl Arena (West Point, NY)",2,0.8,0.0
Pat Driscol,2,0.0,0.0,1,1,"Lahaina Civic Center (Lahaina, HI)",2,0.5,0.0
Drew Ransdell,8,0.0,0.0,8,6,"McKenzie Arena (Chattanooga, TN)",1,1.0,0.0
Sean West,7,0.0,0.0,3,2,"First Community Arena (Edwardsville, IL)",3,0.43,0.0
Kerry Sitton,7,0.0,0.0,6,4,"Wisdom Gymnasium (Stephenville, TX)",2,0.86,0.0
Stephen Orkus,2,0.0,0.0,2,2,"E.A. Diddle Arena (Bowling Green, KY)",1,1.0,0.0
Lewis Garrison,9,0.0,0.0,8,5,"Hard Rock Cancun (Cancún, MEX)",2,0.89,0.0
Randall Wells,22,0.0,0.0,17,10,"Draddy Gymnasium (Riverdale, NY)",2,0.77,0.0
Eddie Fontno,2,0.0,0.0,2,1,"Hytche Center (Princess Anne, MD)",1,1.0,0.0
Levon Zakarian,11,0.0,0.0,10,5,"Walter Pyramid (Long Beach, CA)",2,0.91,0.0
Glenn Gist,2,0.0,0.0,2,1,"Physical Education Complex (Baltimore, MD)",1,1.0,0.0
Vlad Voyard-Tadal,2,0.0,0.0,2,2,"Ocean Center (Daytona Beach, FL)",1,1.0,0.0
Sean Samsel,10,0.0,0.0,8,8,"Johnson Arena (Morehead, KY)",2,0.8,0.0
Todd Apo,3,0.0,0.0,1,1,"SimpliFi Arena at Stan Sheriff Center (Honolulu, HI)",3,0.33,0.0
"Rob Riley, Jr.",3,0.0,0.0,2,2,"Alumni Hall (Annapolis, MD)",2,0.67,0.0
John Boylan Jr.,3,0.0,0.0,3,2,"Groniger Arena (Charleston, IL)",1,1.0,0.0
Eddie Shannon,2,0.0,0.0,2,1,"Gilbert Craig Gore Arena (Buies Creek, NC)",1,1.0,0.0
Jose A. Carrion,2,0.0,0.0,2,2,"Williams Arena at Minges (Greenville, NC)",1,1.0,0.0
Philip Cudd,6,0.0,0.0,4,3,"Eblen Center (Cookeville, TN)",2,0.67,0.0
Jon Pierre,2,0.0,0.0,1,1,"Trojan Arena (Troy, AL)",2,0.5,0.0
Michael Brode,5,0.0,0.0,4,4,"Mercyhurst Athletic Center (Erie, PA)",2,0.8,0.0
Steven Perry,12,0.0,0.0,8,5,"Elridge Wilburn Blake Sports and Fitness Center (Charlotte Amalie West, Vir Isl)",3,0.67,0.0
Stephen Orkus Jr,6,0.0,0.0,5,4,"Legacy Center (Lake Charles, LA)",2,0.83,0.0
David Carter,6,0.0,0.0,4,4,"Kathleen and Tom Elam Center (Martin, TN)",3,0.67,0.0
Phil Sallustio Jr.,4,0.0,0.0,4,3,"Bob Carpenter Center (Newark, DE)",1,1.0,0.0
Dustin Williams,7,0.0,0.0,5,4,"Gentry Center Complex (Nashville, TN)",2,0.71,0.0
Kelly Anlauf,4,0.0,0.0,3,3,"First Bank & Trust Arena (Brookings, SD)",2,0.75,0.0
Tariq Lewis,4,0.0,0.0,2,2,"Groniger Arena (Charleston, IL)",3,0.5,0.0
Michael Seyphers,3,0.0,0.0,1,1,"The Nest (Sacramento, CA)",3,0.33,0.0
Les Jones,5,0.0,0.0,3,3,"The HTC Center (Conway, SC)",3,0.6,0.0
Larry Johnson,2,0.0,0.0,1,1,"McDougald-McLendon Arena (Durham, NC)",2,0.5,0.0
Tony Santiago,3,0.0,0.0,3,3,"Mercyhurst Athletic Center (Erie, PA)",1,1.0,0.0
Gregg Morstein,3,0.0,0.0,2,2,"Viking Pavilion (Portland, OR)",2,0.67,0.0
Tyler Sandman,6,0.0,0.0,3,2,"VisitLethbridge.com Arena (Lethbridge, Canada)",3,0.5,0.0
Anthony Munford,2,0.0,0.0,2,2,"Smith-Hammond-Middleton Memorial Center (Orangeburg, SC)",1,1.0,0.0
Jimmy Googas,4,0.0,0.0,2,1,"VisitLethbridge.com Arena (Lethbridge, Canada)",3,0.5,0.0
Rick Batsell,17,0.0,0.0,12,8,"The Nest (Sacramento, CA)",4,0.71,0.0
Trenton Cheney,2,0.0,0.0,1,1,"William R. Johnson Coliseum (Nacogdoches, TX)",2,0.5,0.0
"Phil Sallustio, Jr.",3,0.0,0.0,3,3,"Stony Brook Arena (Stony Brook, NY)",1,1.0,0.0
Eddie Shannon Jr,2,0.0,0.0,1,1,"CSU Fieldhouse (North Charleston, SC)",2,0.5,0.0
Matt Porter,3,0.0,0.0,2,2,"Mercyhurst Athletic Center (Erie, PA)",2,0.67,0.0
Wesley Harper,10,0.0,0.0,9,6,"Robert F. Hyland Arena (Saint Charles, MO)",2,0.9,0.0
Sean Seales,5,0.0,0.0,2,1,"Hertz Arena (Estero, FL)",3,0.4,0.0
John Jenkins,5,0.0,0.0,4,3,"Neches Arena at the Montagne Center (Beaumont, TX)",2,0.8,0.0
Marvin Harris Jr,3,0.0,0.0,2,2,"Swisher Gymnasium (Jacksonville, FL)",2,0.67,0.0
Matt Mason,2,0.0,0.0,2,2,"ICCU Arena (Moscow, ID)",1,1.0,0.0
Daniel Adeyemi,2,0.0,0.0,2,1,"Reitz Arena (Baltimore, MD)",1,1.0,0.0
Scott Tierney,3,0.0,0.0,2,1,"Groniger Arena (Charleston, IL)",2,0.67,0.0
Mike Terry,2,0.0,0.0,1,1,"Scope Arena (Norfolk, VA)",2,0.5,0.0
Mark Pillen,5,0.0,0.0,3,3,"CB&S Bank Arena at Flowers Hall (Florence, AL)",2,0.6,0.0
Kelly Pfiefer,2,0.0,0.0,2,2,"Matthew Knight Arena (Eugene, OR)",1,1.0,0.0
Kelly Pfeiffer,3,0.0,0.0,3,3,"Clune Arena (U.S. Air Force Academy, CO)",1,1.0,0.0
Mike Scyphers,3,0.0,0.0,1,1,"SimpliFi Arena at Stan Sheriff Center (Honolulu, HI)",3,0.33,0.0
Chad Shepard,3,0.0,0.0,2,2,"SimpliFi Arena at Stan Sheriff Center (Honolulu, HI)",2,0.67,0.0
Darren Drake,2,0.0,0.0,2,2,"Worthington Arena (Bozeman, MT)",1,1.0,0.0
Ed Corbett Jr,2,0.0,0.0,2,2,"William H. Pitt Center (Fairfield, CT)",1,1.0,0.0
Patrick O'Connell,7,0.0,0.0,6,5,"UPMC Cooper Fieldhouse (Pittsburgh, PA)",2,0.86,0.0
Brian Crocker,2,0.0,0.0,2,1,"Eblen Center (Cookeville, TN)",1,1.0,0.0
Connor Hoagland,2,0.0,0.0,2,2,"Costello Athletic Center (Lowell, MA)",1,1.0,0.0
Michael Smith Jr.,2,0.0,0.0,1,1,"Event Center (Huntsville, AL)",2,0.5,0.0
Joe Prince,9,0.0,0.0,6,3,"Moore Gymnasium (Daytona Beach, FL)",3,0.67,0.0
Charles Howell Jr.,2,0.0,0.0,1,1,"Moore Gymnasium (Daytona Beach, FL)",2,0.5,0.0
Tyler Jones,21,0.0,0.0,12,6,"Alumni Hall (Annapolis, MD)",4,0.57,0.0
Corey Taylor,7,0.0,0.0,7,6,"Smith-Hammond-Middleton Memorial Center (Orangeburg, SC)",1,1.0,0.0
Isaac Bennett,2,0.0,0.0,2,2,"Joseph J. Gentile Arena (Chicago, IL)",1,1.0,0.0
Guy Pagano,7,0.0,0.0,5,5,"Detrick Gymnasium (New Britain, CT)",3,0.71,0.0
Kevin Montz,11,0.0,0.0,6,2,"University Center (Hammond, LA)",3,0.55,0.0
Shane Thurston,2,0.0,0.0,2,2,"Dee Events Center (Ogden, UT)",1,1.0,0.0
Brian Hagedorn,3,0.0,0.0,3,3,"Moore Gymnasium (Daytona Beach, FL)",1,1.0,0.0
William Givens,6,0.0,0.0,6,3,"Gallagher Center (Niagara University, NY)",1,1.0,0.0
Tavares Armour,5,0.0,0.0,3,1,"Gentry Center Complex (Nashville, TN)",2,0.6,0.0
Bobby Lineberger,5,0.0,0.0,4,4,"Freedom Hall (Johnson City, TN)",2,0.8,0.0
Brent Simmons,5,0.0,0.0,4,2,"Legacy Center (Lake Charles, LA)",2,0.8,0.0
Thomas McDermott,4,0.0,0.0,4,3,"DeGol Arena (Loretto, PA)",1,1.0,0.0
Luis Vasquez,2,0.0,0.0,1,1,"Edmunds Center (DeLand, FL)",2,0.5,0.0
Nate Farrell,3,0.0,0.0,2,2,"Ocean Center (Daytona Beach, FL)",2,0.67,0.0
